SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
54,Corunastylis ruppii,,Corunastylis,2,Corunastylis ruppii,(R.S.Rogers) D.L.Jones & M.A.Clem.,Corunastylis,2,234469,1,FALSE,0.8,0,,Genoplesium ruppii,(R.S.Rogers) D.L.Jones,246899,Orchidaceae,,Genoplesium ruppii,
55,Corybas grumulus,,Corybas,2,Corybas grumulus,(D.L.Jones) G.N.Backh.,Corybas,2,462321,1,FALSE,0.8,0,,Corybas diemenicus,(Lindl.) Rupp,47702,Orchidaceae,,Corybas diemenicus,
56,Corunastylis simulans,,Corunastylis,2,Corunastylis simulans,(D.L.Jones) D.L.Jones & M.A.Clem.,Corunastylis,2,234472,1,FALSE,0.8,0,,Genoplesium simulans,D.L.Jones,89189,Orchidaceae,,Genoplesium simulans,
57,Ericksonella saccharata,,Ericksonella,2,Ericksonella saccharata,(Rchb.f.) Hopper & A.P.Br.,Ericksonella,2,243419,1,FALSE,0.8,0,,Caladenia saccharata,Rchb.f.,28702,Orchidaceae,,Caladenia saccharata,
58,Flickingeria convexa,,Flickingeria,2,Flickingeria convexa,(Blume) A.D.Hawkes,Flickingeria,2,84512,1,FALSE,0.8,0,,Dendrobium convexum,(Blume) Lindl.,57474,Orchidaceae,,Dendrobium convexum,
59,Dendrobium speciosum ssp. hillii,,Dendrobium,3,Dendrobium speciosum subsp. hillii,(Mast.) D.P.Banks & Clemesha,Dendrobium,3,59130,1,FALSE,0.7,2,,Dendrobium speciosum var. hillii,Mast.,59131,Orchidaceae,,Dendrobium speciosum,
60,Corunastylis stephensonii,,Corunastylis,2,Corunastylis stephensonii,D.L.Jones,Corunastylis,2,490030,1,FALSE,0.8,0,,Genoplesium stephensonii,(D.L.Jones) J.M.H.Shaw,520846,Orchidaceae,,Genoplesium stephensonii,
61,Diuris dendrobioides,,Diuris,2,Diuris dendrobioides,Fitzg.,Diuris,2,63393,1,FALSE,0.8,0,,Diuris punctata,Sm.,63443,Orchidaceae,,Diuris punctata,
62,Acianthus collinus,,Acianthus,2,Acianthus collinus,D.L.Jones,Acianthus,2,1860,1,FALSE,0.8,0,,Acianthus fornicatus,R.Br.,1869,Orchidaceae,,Acianthus fornicatus,
63,Paraprasophyllum basalticum,,Paraprasophyllum,2,Paraprasophyllum basalticum,(D.L.Jones & L.M.Copel.) M.A.Clem. & D.L.Jones,Paraprasophyllum,2,535312,1,FALSE,0.8,0,,Prasophyllum basalticum,D.L.Jones & L.M.Copel.,530870,Orchidaceae,,Prasophyllum basalticum,
64,Corunastylis densa,,Corunastylis,2,Corunastylis densa,(Fitzg.) D.L.Jones & M.A.Clem.,Corunastylis,2,331811,1,FALSE,0.8,0,,Genoplesium nudiscapum,(Hook.f.) D.L.Jones & M.A.Clem.,89178,Orchidaceae,,Genoplesium nudiscapum,
65,Corunastylis apostasioides,,Corunastylis,2,Corunastylis apostasioides,Fitzg.,Corunastylis,2,47602,1,FALSE,0.8,0,,Genoplesium apostasioides,(Fitzg.) D.L.Jones & M.A.Clem.,89158,Orchidaceae,,Genoplesium apostasioides,
66,Dendrobium × delicatum,,Dendrobium,2,Dendrobium rex,M.A.Clem. & D.L.Jones,Dendrobium,2,58905,1,TRUE,0.25,11,,,,,Orchidaceae,,Dendrobium rex,
67,Paraprasophyllum rousei,,Paraprasophyllum,2,Paraprasophyllum rousei,(D.L.Jones) M.A.Clem. & D.L.Jones,Paraprasophyllum,2,535413,1,FALSE,0.8,0,,Prasophyllum rousei,D.L.Jones,526270,Orchidaceae,,Prasophyllum rousei,
68,Phoringopsis dockrillii,,Phoringopsis,2,Phoringopsis dockrillii,(Lavarack) D.L.Jones & M.A.Clem.,Phoringopsis,2,257824,1,FALSE,0.8,0,,Arthrochilus dockrillii,Lavarack,15937,Orchidaceae,,Arthrochilus dockrillii,
69,Eria eriaeoides,,Eria,2,Eria eriaeoides,(F.M.Bailey) Rolfe,Eria,2,71085,1,FALSE,0.8,0,,Bryobium eriaeoides,(F.M.Bailey) M.A.Clem. & D.L.Jones,222185,Orchidaceae,,Bryobium eriaeoides,
70,Dendrobium prenticei,,Dendrobium,2,Dendrobium prenticei,(F.Muell.) Nicholls,Dendrobium,2,58769,1,FALSE,0.8,0,,Dendrobium lichenastrum,(F.Muell.) Rolfe,58235,Orchidaceae,,Dendrobium lichenastrum,
