genus,success,error_msg,original_records,filtered_records,status
Holcoglossum,TRUE,,132,131,Success
Diploprora,TRUE,,61,58,Success
Hsenhsua,TRUE,,8,8,Success
Changnienia,TRUE,,9,9,Success
Hancockia,TRUE,,7,7,Success
Cymbilabia,TRUE,,18,18,Success
Caluera,TRUE,,12,10,Success
Selenipedium,TRUE,,56,54,Success
Pendusalpinx,TRUE,,65,65,Success
Peristeria,TRUE,,54,53,Success
Chaubardiella,TRUE,,23,23,Success
Oestlundia,TRUE,,97,97,Success
Schiedeella,TRUE,,147,147,Success
Physogyne,TRUE,,7,7,Success
Homalopetalum,TRUE,,90,87,Success
Nemaconia,TRUE,,245,240,Success
Funkiella,TRUE,,161,149,Success
Paradisanthus,TRUE,,168,166,Success
Ophidion,TRUE,,33,33,Success
Myrosmodes,TRUE,,111,111,Success
Andinia,TRUE,,409,409,Success
Lueddemannia,TRUE,,10,9,Success
Guanchezia,TRUE,,31,24,Success
Dracula,TRUE,,417,412,Success
Stenoptera,TRUE,,39,38,Success
Porroglossum,TRUE,,97,96,Success
Coccineorchis,TRUE,,267,266,Success
Acrorchis,TRUE,,54,54,Success
Roeperocharis,TRUE,,37,37,Success
Gravendeelia,TRUE,,134,134,Success
Frondaria,TRUE,,45,45,Success
Chaubardia,TRUE,,59,59,Success
Grammangis,TRUE,,123,123,Success
Oeoniella,TRUE,,55,55,Success
Lacaena,TRUE,,15,15,Success
Pelatantheria,TRUE,,72,71,Success
Miltoniopsis,TRUE,,84,82,Success
Artorima,TRUE,,28,28,Success
Monophyllorchis,TRUE,,48,48,Success
Beloglottis,TRUE,,203,202,Success
Kionophyton,TRUE,,45,45,Success
Draconanthes,TRUE,,52,52,Success
Sievekingia,TRUE,,51,49,Success
Stenotyla,TRUE,,92,92,Success
Teuscheria,TRUE,,19,17,Success
Mesadenella,TRUE,,520,519,Success
Pseudocentrum,TRUE,,41,41,Success
Pleurothallopsis,TRUE,,86,86,Success
Rhyncholaelia,TRUE,,100,95,Success
Zootrophion,TRUE,,97,95,Success
Ceratandra,TRUE,,350,328,Success
Dimorphorchis,TRUE,,14,12,Success
Jejewoodia,TRUE,,9,9,Success
Nephrangis,TRUE,,21,21,Success
Orestias,TRUE,,22,22,Success
Cryptopus,TRUE,,275,275,Success
Oberonioides,TRUE,,8,8,Success
Sphyrarhynchus,TRUE,,43,43,Success
Polyotidium,TRUE,,17,17,Success
Orchipedum,TRUE,,4,4,Success
Dossinia,TRUE,,8,6,Success
Sertifera,TRUE,,83,83,Success
Aa,TRUE,,183,183,Success
Cyanaeorchis,TRUE,,128,128,Success
Galeoglossum,TRUE,,90,89,Success
Microthelys,TRUE,,50,48,Success
Trichoceros,TRUE,,85,83,Success
Restrepiella,TRUE,,108,100,Success
Hintonella,TRUE,,18,17,Success
Buchtienia,TRUE,,169,117,Success
Bipinnula,TRUE,,1448,1447,Success
Galeottiella,TRUE,,28,28,Success
Alamania,TRUE,,35,35,Success
Vitekorchis,TRUE,,59,59,Success
Zelenkoa,TRUE,,14,14,Success
Meiracyllium,TRUE,,103,102,Success
Chysis,TRUE,,95,93,Success
Dactylostalix,TRUE,,24,24,Success
Evotella,TRUE,,120,116,Success
Corycium,TRUE,,574,571,Success
Pachites,TRUE,,27,27,Success
Cirrhaea,TRUE,,116,114,Success
Ponera,TRUE,,35,34,Success
Neobathiea,TRUE,,51,50,Success
Sotoa,TRUE,,22,22,Success
Thelyschista,TRUE,,56,55,Success
Chamelophyton,TRUE,,2,2,Success
Quisqueya,TRUE,,1,1,Success
Espinhassoa,TRUE,,55,55,Success
Constantia,TRUE,,28,28,Success
Diplomeris,TRUE,,14,14,Success
Helleriella,TRUE,,15,15,Success
Hagsatera,TRUE,,22,22,Success
Yoania,TRUE,,82,82,Success
Risleya,TRUE,,12,11,Success
Eleorchis,TRUE,,33,32,Success
Odontorrhynchus,TRUE,,15,13,Success
Calymmanthera,TRUE,,3,3,Success
Ridleyella,TRUE,,7,7,Success
Hymenorchis,TRUE,,5,5,Success
Papuaea,TRUE,,1,1,Success
Pennilabium,TRUE,,6,6,Success
Thaia,TRUE,,3,3,Success
Veyretella,TRUE,,32,32,Success
Dresslerella,TRUE,,28,28,Success
Benzingia,TRUE,,30,30,Success
Diodonopsis,TRUE,,102,102,Success
Stellamaris,TRUE,,13,13,Success
Microepidendrum,TRUE,,7,7,Success
Coryanthes,TRUE,,129,127,Success
Ophioglossella,TRUE,,1,1,Success
Thecopus,TRUE,,13,12,Success
Stenia,TRUE,,26,25,Success
Bambuseria,TRUE,,4,4,Success
Tsaiorchis,TRUE,,8,8,Success
Dressleria,TRUE,,22,22,Success
Erasanthe,TRUE,,12,12,Success
Imerinaea,TRUE,,10,10,Success
Lycomormium,TRUE,,11,11,Success
Dunstervillea,TRUE,,2,2,Success
Oliveriana,TRUE,,38,38,Success
Megalorchis,TRUE,,1,1,Success
Tylostigma,TRUE,,30,30,Success
Vargasiella,TRUE,,26,26,Success
Vasqueziella,TRUE,,1,1,Success
Grobya,TRUE,,122,121,Success
Sarcoglyphis,TRUE,,13,13,Success
Chroniochilus,TRUE,,1,1,Success
Warmingia,TRUE,,44,44,Success
Cischweinfia,TRUE,,61,60,Success
Systeloglossum,TRUE,,37,37,Success
Quechua,TRUE,,11,11,Success
Euryblema,TRUE,,2,2,Success
Solenocentrum,TRUE,,19,19,Success
Kegeliella,TRUE,,15,14,Success
Embreea,TRUE,,4,4,Success
Tuberolabium,TRUE,,14,13,Success
Suarezia,TRUE,,1,1,Success
Hofmeisterella,TRUE,,20,20,Success
Pupulinia,TRUE,,6,6,Success
Eriodes,TRUE,,6,6,Success
Biermannia,TRUE,,6,6,Success
Sanderella,TRUE,,27,27,Success
