"Bioregion","Species","affinity","fidelity","indval"
"1","Kylicanthe",0,0,0
"1","Lacaena",0,0,0
"1","Laelia",0,0,0
"1","Lankesterella",0,0,0
"1","Lankesteriana",0,0,0
"1","Lecanorchis",0.0144777662874871,0.368421052631579,0.00533391389538997
"1","Lemurella",0,0,0
"1","Lemurorchis",0,0,0
"1","Leochilus",0,0,0
"1","Lepanthes",0,0,0
"1","Lepanthopsis",0,0,0
"1","Lepidogyne",0,0,0
"1","Leporella",0,0,0
"1","Leptoceras",0,0,0
"1","Leptotes",0,0,0
"1","Limodorum",0.0796277145811789,1,0.0796277145811789
"1","Liparis",0.28335056876939,0.345088161209068,0.0977809267541723
"1","Listrostachys",0,0,0
"1","Lockhartia",0,0,0
"1","Loefgrenianthus",0,0,0
"1","Ludisia",0,0,0
"1","Lueckelia",0,0,0
"1","Lueddemannia",0,0,0
"1","Luisia",0.00827300930713547,0.102564102564103,0.000848513775090818
"1","Lycaste",0,0,0
"1","Lycomormium",0,0,0
"1","Lyperanthus",0,0,0
"1","Lyroglossa",0,0,0
"1","Macodes",0,0,0
"1","Macradenia",0,0,0
"1","Macroclinium",0,0,0
"1","Macropodanthus",0,0,0
"1","Madisonia",0,0,0
"1","Malaxis",0.375387797311272,0.62051282051282,0.232932940895712
"1","Manniella",0,0,0
"1","Masdevallia",0,0,0
"1","Maxillaria",0.00103412616339193,0.00303030303030303,3.13371564664222e-06
"1","Mediocalcar",0,0,0
"1","Megalorchis",0,0,0
"1","Megastylis",0,0,0
"1","Meiracyllium",0,0,0
"1","Mengzia",0,0,0
"1","Mesadenella",0,0,0
"1","Mesadenus",0,0,0
"1","Mexipedium",0,0,0
"1","Microchilus",0.00723888314374354,0.0303030303030303,0.000219360095264956
"1","Microcoelia",0,0,0
"1","Microepidendrum",0,0,0
"1","Micropera",0.00103412616339193,0.0344827586206897,3.56595228755839e-05
"1","Microsaccus",0,0,0
"1","Microthelys",0.00103412616339193,0.0588235294117647,6.08309507877608e-05
"1","Microtis",0.00517063081695967,0.0403225806451613,0.000208493178103212
"1","Miltonia",0,0,0
"1","Miltoniopsis",0,0,0
"1","Mobilabium",0,0,0
"1","Monophyllorchis",0,0,0
"1","Mormodes",0,0,0
"1","Mycaranthes",0.00103412616339193,0.0208333333333333,2.15442950706653e-05
"1","Myoxanthus",0,0,0
"1","Myrmecophila",0,0,0
"1","Myrosmodes",0,0,0
"1","Mystacidium",0,0,0
"1","Nemaconia",0,0,0
"1","Neobathiea",0,0,0
"1","Neobolusia",0,0,0
"1","Neocogniauxia",0,0,0
"1","Neogardneria",0,0,0
"1","Neomoorea",0,0,0
"1","Neotinea",0.154084798345398,1,0.154084798345398
"1","Neottia",0.681489141675284,0.983582089552239,0.670300513976138
"1","Nephelaphyllum",0.00103412616339193,0.0294117647058824,3.04154753938804e-05
"1","Nephrangis",0,0,0
"1","Nervilia",0.0175801447776629,0.0909090909090909,0.00159819497978753
"1","Neuwiedia",0,0,0
"1","Nidema",0,0,0
"1","Nohawilliamsia",0,0,0
"1","Nothostele",0,0,0
"1","Notylia",0,0,0
"1","Notyliopsis",0,0,0
"1","Oberonia",0.0237849017580145,0.0978723404255319,0.00232788400184823
"1","Oberonioides",0,0,0
"1","Octarrhena",0,0,0
"1","Octomeria",0,0,0
"1","Odontochilus",0.0279214064115822,0.290322580645161,0.0081062147646529
"1","Odontoglossum",0,0,0
"1","Odontorrhynchus",0,0,0
"1","Oeonia",0,0,0
"1","Oeoniella",0,0,0
"1","Oestlundia",0,0,0
"1","Oligophyton",0,0,0
"1","Oliveriana",0,0,0
"1","Oncidium",0.00206825232678387,0.0099009900990099,2.04777458097413e-05
"1","Ophidion",0,0,0
"1","Ophioglossella",0,0,0
"1","Ophrys",0.172699069286453,1,0.172699069286453
"1","Orchipedum",0,0,0
"1","Orchis",0.268872802481903,1,0.268872802481903
"1","Oreorchis",0.0682523267838676,0.846153846153846,0.0577519688171188
"1","Orestias",0,0,0
"1","Orleanesia",0,0,0
"1","Ornithocephalus",0,0,0
"1","Orthoceras",0,0,0
"1","Otoglossum",0,0,0
"1","Otostylis",0,0,0
"1","Oxystophyllum",0,0,0
"1","Pabstia",0,0,0
"1","Pabstiella",0,0,0
"1","Pachites",0,0,0
"1","Pachyplectron",0,0,0
"1","Pachystoma",0.00206825232678387,0.0645161290322581,0.000133435633986056
"1","Palmorchis",0,0,0
"1","Paphinia",0,0,0
"1","Paphiopedilum",0.0031023784901758,0.0428571428571429,0.000132959078150391
"1","Papilionanthe",0.0031023784901758,0.272727272727273,0.0008461032245934
"1","Papuaea",0,0,0
"1","Paracaleana",0,0,0
"1","Paradisanthus",0,0,0
"1","Pecteilis",0.0196483971044467,0.333333333333333,0.00654946570148225
"1","Pelatantheria",0.0093071354705274,0.36,0.00335056876938987
"1","Pelexia",0,0,0
"1","Pendusalpinx",0,0,0
"1","Pennilabium",0,0,0
"1","Peristeranthus",0,0,0
"1","Peristeria",0,0,0
"1","Peristylus",0.0227507755946225,0.150684931506849,0.0034281990622034
"1","Pescatoria",0,0,0
"1","Phalaenopsis",0.0206825232678387,0.176991150442478,0.00366062358722808
"1","Pheladenia",0,0,0
"1","Phloeophila",0,0,0
"1","Phragmipedium",0,0,0
"1","Phreatia",0.00103412616339193,0.00934579439252336,9.66473049899004e-06
"1","Phymatidium",0,0,0
"1","Physogyne",0,0,0
"1","Pilophyllum",0,0,0
"1","Pinalia",0.015511892450879,0.0943396226415094,0.0014633860802716
"1","Platanthera",0.840744570837642,0.898342541436464,0.755276614465197
"1","Platycoryne",0,0,0
"1","Platyrhiza",0,0,0
"1","Platystele",0,0,0
"1","Plectorrhiza",0,0,0
"1","Plectrelminthus",0,0,0
"1","Plectrophora",0,0,0
"1","Pleione",0.0330920372285419,0.533333333333333,0.017649086521889
"1","Pleurothallis",0,0,0
"1","Pleurothallopsis",0,0,0
"1","Plocoglottis",0,0,0
"1","Poaephyllum",0,0,0
"1","Podangis",0,0,0
"1","Podochilus",0.00206825232678387,0.0206185567010309,4.26443778718323e-05
"1","Pogonia",0.169596690796277,0.896174863387978,0.151988291205407
"1","Pogoniopsis",0,0,0
"1","Polycycnis",0,0,0
"1","Polyotidium",0,0,0
"1","Polystachya",0.0031023784901758,0.00595238095238095,1.84665386319988e-05
"1","Pomatocalpa",0.00103412616339193,0.0135135135135135,1.39746778836748e-05
"1","Ponera",0,0,0
"1","Ponthieva",0.0196483971044467,0.147286821705426,0.00289394996112006
"1","Porpax",0.00206825232678387,0.0273972602739726,5.66644473091471e-05
"1","Porphyrostachys",0,0,0
"1","Porroglossum",0,0,0
"1","Porrorhachis",0,0,0
"1","Praecoxanthus",0,0,0
"1","Prasophyllum",0,0,0
"1","Prescottia",0,0,0
"1","Promenaea",0,0,0
"1","Prosthechea",0.0031023784901758,0.0100671140939597,3.12319982232463e-05
"1","Pseuderia",0,0,0
"1","Pseudocentrum",0,0,0
"1","Pseudogoodyera",0,0,0
"1","Pseudolaelia",0,0,0
"1","Pseudorchis",0.124095139607032,1,0.124095139607032
"1","Pseudovanilla",0,0,0
"1","Psilochilus",0,0,0
"1","Psychilis",0,0,0
"1","Psychopsiella",0,0,0
"1","Psychopsis",0,0,0
"1","Pterichis",0,0,0
"1","Pteroceras",0.00103412616339193,0.0526315789473684,5.44276928101018e-05
"1","Pteroglossa",0,0,0
"1","Pterostemma",0,0,0
"1","Pterostylis",0,0,0
"1","Pterygodium",0,0,0
"1","Pupulinia",0,0,0
"1","Pygmaeorchis",0,0,0
"1","Pyrorchis",0,0,0
"1","Quechua",0,0,0
"1","Quekettia",0,0,0
"1","Quisqueya",0,0,0
"1","Rangaeris",0,0,0
"1","Rauhiella",0,0,0
"1","Renanthera",0,0,0
"1","Restrepia",0,0,0
"1","Restrepiella",0,0,0
"1","Rhinerrhiza",0,0,0
"1","Rhipidoglossum",0,0,0
"1","Rhizanthella",0,0,0
"1","Rhomboda",0.0062047569803516,0.107142857142857,0.000664795390751957
"1","Rhynchogyna",0,0,0
"1","Rhyncholaelia",0,0,0
"1","Rhynchostele",0,0,0
"1","Rhynchostylis",0.00413650465356774,0.210526315789474,0.000870843084961628
"1","Ridleyella",0,0,0
"1","Rimacola",0,0,0
"1","Risleya",0.0062047569803516,1,0.0062047569803516
"1","Robiquetia",0.00103412616339193,0.0114942528735632,1.18865076251946e-05
"1","Rodriguezia",0,0,0
"1","Roeperocharis",0,0,0
"1","Rossioglossum",0,0,0
"1","Rudolfiella",0,0,0
"1","Saccolabiopsis",0,0,0
"1","Saccolabium",0,0,0
"1","Sacoila",0.00413650465356774,0.02,8.27300930713547e-05
"1","Sanderella",0,0,0
"1","Sarcanthopsis",0,0,0
"1","Sarcochilus",0,0,0
"1","Sarcoglottis",0,0,0
"1","Sarcoglyphis",0,0,0
"1","Satyrium",0.0299896587383661,0.168604651162791,0.00505639595007335
"1","Saundersia",0,0,0
"1","Sauroglossum",0,0,0
"1","Scaphosepalum",0,0,0
"1","Scaphyglottis",0,0,0
"1","Schiedeella",0.00413650465356774,0.117647058823529,0.000486647606302087
"1","Schizochilus",0,0,0
"1","Schlimia",0,0,0
"1","Schoenorchis",0.00517063081695967,0.0735294117647059,0.000380193442423505
"1","Scuticaria",0,0,0
"1","Seidenfadenia",0,0,0
"1","Selenipedium",0,0,0
"1","Serapias",0.0796277145811789,0.916666666666667,0.072992071699414
"1","Sertifera",0,0,0
"1","Sievekingia",0,0,0
"1","Sirhookera",0,0,0
"1","Sirindhornia",0,0,0
"1","Skeptrostachys",0,0,0
"1","Smitinandia",0.00103412616339193,0.166666666666667,0.000172354360565322
"1","Sobennikoffia",0,0,0
"1","Sobralia",0,0,0
"1","Solenangis",0,0,0
"1","Solenidium",0,0,0
"1","Solenocentrum",0,0,0
"1","Soterosanthus",0,0,0
"1","Sotoa",0,0,0
"1","Spathoglottis",0.0144777662874871,0.0843373493975904,0.00122101643388445
"1","Specklinia",0,0,0
"1","Sphyrarhynchus",0,0,0
"1","Spiculaea",0,0,0
"1","Spiranthes",0.629782833505688,0.770886075949367,0.485490817221473
"1","Stanhopea",0,0,0
"1","Stelis",0,0,0
