"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"140","Acacia pentagona","Magnoliophyta","Fabales","Acacia pentagona","Fabaceae","Acacia","pentagona","liana","100"
"141","Acacia permixta","Magnoliophyta","Fabales","Acacia permixta","Fabaceae","Acacia","permixta","shrub","3"
"142","Acacia persiciflora","Magnoliophyta","Fabales","Acacia persiciflora","Fabaceae","Acacia","persiciflora","tree","33"
"143","Acacia petrensis","Magnoliophyta","Fabales","Acacia petrensis","Fabaceae","Acacia","petrensis","tree","1"
"144","Acacia pilispina","Magnoliophyta","Fabales","Acacia pilispina","Fabaceae","Acacia","pilispina","tree","23"
"145","Acacia polyacantha","Magnoliophyta","Fabales","Acacia polyacantha subsp. campylacantha","Fabaceae","Acacia","polyacantha","tree","275"
"146","Acacia polyacantha","Magnoliophyta","Fabales","Acacia polyacantha subsp. polyacantha","Fabaceae","Acacia","polyacantha","tree","275"
"147","Acacia polyacantha","Magnoliophyta","Fabales","Acacia polyacantha","Fabaceae","Acacia","polyacantha","tree","275"
"148","Acacia prasinata","Magnoliophyta","Fabales","Acacia prasinata","Fabaceae","Acacia","prasinata","tree","3"
"149","Acacia pseudofistula","Magnoliophyta","Fabales","Acacia pseudofistula","Fabaceae","Acacia","pseudofistula","tree","21"
"150","Acacia pseudonigrescens","Magnoliophyta","Fabales","Acacia pseudonigrescens","Fabaceae","Acacia","pseudonigrescens","tree","1"
"151","Acacia qandalensis","Magnoliophyta","Fabales","Acacia qandalensis","Fabaceae","Acacia","qandalensis","tree","1"
"152","Acacia reficiens","Magnoliophyta","Fabales","Acacia reficiens subsp. misera","Fabaceae","Acacia","reficiens","shrub","18"
"153","Acacia reficiens","Magnoliophyta","Fabales","Acacia reficiens","Fabaceae","Acacia","reficiens","shrub","18"
"154","Acacia rehmanniana","Magnoliophyta","Fabales","Acacia rehmanniana","Fabaceae","Acacia","rehmanniana","tree","21"
"155","Acacia retinodes","Magnoliophyta","Fabales","Acacia retinodes","Fabaceae","Acacia","retinodes","tree","2"
"156","Acacia robusta","Magnoliophyta","Fabales","Acacia robusta subsp. clavigera","Fabaceae","Acacia","robusta","tree","152"
"157","Acacia robusta","Magnoliophyta","Fabales","Acacia robusta","Fabaceae","Acacia","robusta","tree","152"
"158","Acacia robusta","Magnoliophyta","Fabales","Acacia robusta subsp. robusta","Fabaceae","Acacia","robusta","tree","152"
