"","tax_sp_level","phylum","order","species","family","genus","specificEpithet","a_habit","nbe_records"
"15662","Isoglossa membranacea","Magnoliophyta","Lamiales","Isoglossa membranacea subsp. septentrionalis","Acanthaceae","Isoglossa","membranacea","herb","4"
"15663","Isoglossa milanjiensis","Magnoliophyta","Lamiales","Isoglossa milanjiensis","Acanthaceae","Isoglossa","milanjiensis","shrub","9"
"15664","Isoglossa multinervis","Magnoliophyta","Lamiales","Isoglossa multinervis","Acanthaceae","Isoglossa","multinervis","shrub","2"
"15665","Isoglossa nervosa","Magnoliophyta","Lamiales","Isoglossa nervosa","Acanthaceae","Isoglossa","nervosa","herb","4"
"15666","Isoglossa oreacanthoides","Magnoliophyta","Lamiales","Isoglossa oreacanthoides","Acanthaceae","Isoglossa","oreacanthoides","","4"
"15667","Isoglossa ovata","Magnoliophyta","Lamiales","Isoglossa ovata","Acanthaceae","Isoglossa","ovata","herb","5"
"15668","Isoglossa parvifolia","Magnoliophyta","Lamiales","Isoglossa parvifolia","Acanthaceae","Isoglossa","parvifolia","herb","3"
"15669","Isoglossa paucinervis","Magnoliophyta","Lamiales","Isoglossa paucinervis","Acanthaceae","Isoglossa","paucinervis","herb","8"
"15670","Isoglossa pawekiae","Magnoliophyta","Lamiales","Isoglossa pawekiae","Acanthaceae","Isoglossa","pawekiae","herb","1"
"15671","Isoglossa punctata","Magnoliophyta","Lamiales","Isoglossa punctata","Acanthaceae","Isoglossa","punctata","herb","49"
"15672","Isoglossa rubescens","Magnoliophyta","Lamiales","Isoglossa rubescens","Acanthaceae","Isoglossa","rubescens","herb","7"
"15673","Isoglossa rungioides","Magnoliophyta","Lamiales","Isoglossa rungioides","Acanthaceae","Isoglossa","rungioides","herb","1"
"15674","Isoglossa runssorica","Magnoliophyta","Lamiales","Isoglossa runssorica","Acanthaceae","Isoglossa","runssorica","herb","7"
"15675","Isoglossa somalensis","Magnoliophyta","Lamiales","Isoglossa somalensis","Acanthaceae","Isoglossa","somalensis","herb","8"
"15676","Isoglossa strigosula","Magnoliophyta","Lamiales","Isoglossa strigosula","Acanthaceae","Isoglossa","strigosula","herb","8"
"15677","Isoglossa substrobilina","Magnoliophyta","Lamiales","Isoglossa substrobilina subsp. substrobilina","Acanthaceae","Isoglossa","substrobilina","shrub","11"
"15678","Isoglossa substrobilina","Magnoliophyta","Lamiales","Isoglossa substrobilina","Acanthaceae","Isoglossa","substrobilina","shrub","11"
"15679","Isoglossa substrobilina","Magnoliophyta","Lamiales","Isoglossa substrobilina subsp. tenuispicata","Acanthaceae","Isoglossa","substrobilina","shrub","11"
"15680","Isoglossa ufipensis","Magnoliophyta","Lamiales","Isoglossa ufipensis","Acanthaceae","Isoglossa","ufipensis","herb","1"
"15681","Isoglossa variegata","Magnoliophyta","Lamiales","Isoglossa variegata","Acanthaceae","Isoglossa","variegata","herb","4"
"15682","Isoglossa ventricosa","Magnoliophyta","Lamiales","Isoglossa ventricosa","Acanthaceae","Isoglossa","ventricosa","herb","5"
"15683","Isoglossa vulcanicola","Magnoliophyta","Lamiales","Isoglossa vulcanicola var. eglandulosa","Acanthaceae","Isoglossa","vulcanicola","shrub","34"
"15684","Isoglossa vulcanicola","Magnoliophyta","Lamiales","Isoglossa vulcanicola","Acanthaceae","Isoglossa","vulcanicola","shrub","34"
"15685","Isolepis antarctica","Magnoliophyta","Poales","Isolepis antarctica","Cyperaceae","Isolepis","antarctica","herb","3"
"15686","Isolepis cernua","Magnoliophyta","Poales","Isolepis cernua","Cyperaceae","Isolepis","cernua","herb","4"
"15687","Isolepis cernua","Magnoliophyta","Poales","Isolepis cernua var. setiformis","Cyperaceae","Isolepis","cernua","herb","4"
"15688","Isolepis cernua","Magnoliophyta","Poales","Isolepis cernua var. meruensis","Cyperaceae","Isolepis","cernua","herb","4"
"15689","Isolepis costata","Magnoliophyta","Poales","Isolepis costata","Cyperaceae","Isolepis","costata","herb","17"
"15690","Isolepis diabolica","Magnoliophyta","Poales","Isolepis diabolica","Cyperaceae","Isolepis","diabolica","herb","1"
"15691","Isolepis digitata","Magnoliophyta","Poales","Isolepis digitata","Cyperaceae","Isolepis","digitata","herb","1"
"15692","Isolepis fluitans","Magnoliophyta","Poales","Isolepis fluitans","Cyperaceae","Isolepis","fluitans","herb","42"
"15693","Isolepis fluitans","Magnoliophyta","Poales","Isolepis fluitans var. fluitans","Cyperaceae","Isolepis","fluitans","herb","42"
"15694","Isolepis fluitans","Magnoliophyta","Poales","Isolepis fluitans var. major","Cyperaceae","Isolepis","fluitans","herb","42"
"15695","Isolepis fluitans","Magnoliophyta","Poales","Isolepis fluitans var. nervosa","Cyperaceae","Isolepis","fluitans","herb","42"
"15696","Isolepis hemiuncialis","Magnoliophyta","Poales","Isolepis hemiuncialis","Cyperaceae","Isolepis","hemiuncialis","herb","1"
"15697","Isolepis hystrix","Magnoliophyta","Poales","Isolepis hystrix","Cyperaceae","Isolepis","hystrix","herb","1"
"15698","Isolepis karroica","Magnoliophyta","Poales","Isolepis karroica","Cyperaceae","Isolepis","karroica","herb","1"
"15699","Isolepis natans","Magnoliophyta","Poales","Isolepis natans","Cyperaceae","Isolepis","natans","herb","2"
"15700","Isolepis omissa","Magnoliophyta","Poales","Isolepis omissa","Cyperaceae","Isolepis","omissa","herb","1"
"15701","Isolepis prolifera","Magnoliophyta","Poales","Isolepis prolifera","Cyperaceae","Isolepis","prolifera","herb","1"
"15702","Isolepis rubicunda","Magnoliophyta","Poales","Isolepis rubicunda","Cyperaceae","Isolepis","rubicunda","herb","1"
"15703","Isolepis sepulcralis","Magnoliophyta","Poales","Isolepis sepulcralis","Cyperaceae","Isolepis","sepulcralis","herb","2"
"15704","Isolepis striata","Magnoliophyta","Poales","Isolepis striata","Cyperaceae","Isolepis","striata","herb","1"
"15705","Isolona campanulata","Magnoliophyta","Magnoliales","Isolona campanulata","Annonaceae","Isolona","campanulata","shrub","100"
"15706","Isolona cauliflora","Magnoliophyta","Magnoliales","Isolona cauliflora","Annonaceae","Isolona","cauliflora","tree","24"
"15707","Isolona congolana","Magnoliophyta","Magnoliales","Isolona congolana","Annonaceae","Isolona","congolana","tree","32"
"15708","Isolona cooperi","Magnoliophyta","Magnoliales","Isolona cooperi","Annonaceae","Isolona","cooperi","shrub","65"
"15709","Isolona deightonii","Magnoliophyta","Magnoliales","Isolona deightonii","Annonaceae","Isolona","deightonii","tree","8"
"15710","Isolona dewevrei","Magnoliophyta","Magnoliales","Isolona dewevrei","Annonaceae","Isolona","dewevrei","tree","22"
"15711","Isolona heinsenii","Magnoliophyta","Magnoliales","Isolona heinsenii","Annonaceae","Isolona","heinsenii","tree","42"
"15712","Isolona hexaloba","Magnoliophyta","Magnoliales","Isolona hexaloba","Annonaceae","Isolona","hexaloba","tree","186"
"15713","Isolona le-testui","Magnoliophyta","Magnoliales","Isolona le-testui","Annonaceae","Isolona","le-testui","tree","2"
"15714","Isolona lebrunii","Magnoliophyta","Magnoliales","Isolona lebrunii","Annonaceae","Isolona","lebrunii","tree","20"
"15715","Isolona linearis","Magnoliophyta","Magnoliales","Isolona linearis","Annonaceae","Isolona","linearis","tree","23"
"15716","Isolona pilosa","Magnoliophyta","Magnoliales","Isolona pilosa","Annonaceae","Isolona","pilosa","tree","17"
"15717","Isolona pleurocarpa","Magnoliophyta","Magnoliales","Isolona pleurocarpa","Annonaceae","Isolona","pleurocarpa","tree","20"
"15718","Isolona thonneri","Magnoliophyta","Magnoliales","Isolona thonneri","Annonaceae","Isolona","thonneri","tree","40"
"15719","Isolona zenkeri","Magnoliophyta","Magnoliales","Isolona zenkeri","Annonaceae","Isolona","zenkeri","tree","42"
"15720","Isomacrolobium brachyrhachis","Magnoliophyta","Fabales","Isomacrolobium brachyrhachis","Fabaceae","Isomacrolobium","brachyrhachis","tree","1"
"15721","Isomacrolobium explicans","Magnoliophyta","Fabales","Isomacrolobium explicans","Fabaceae","Isomacrolobium","explicans","tree","19"
"15722","Isomacrolobium graciliflorum","Magnoliophyta","Fabales","Isomacrolobium graciliflorum","Fabaceae","Isomacrolobium","graciliflorum","tree","16"
"15723","Isomacrolobium hallei","Magnoliophyta","Fabales","Isomacrolobium hallei","Fabaceae","Isomacrolobium","hallei","tree","12"
"15724","Isomacrolobium isopetalum","Magnoliophyta","Fabales","Isomacrolobium isopetalum","Fabaceae","Isomacrolobium","isopetalum","tree","20"
"15725","Isomacrolobium lebrunii","Magnoliophyta","Fabales","Isomacrolobium lebrunii","Fabaceae","Isomacrolobium","lebrunii","tree","1"
"15726","Isomacrolobium leptorrhachis","Magnoliophyta","Fabales","Isomacrolobium leptorrhachis","Fabaceae","Isomacrolobium","leptorrhachis","tree","16"
"15727","Isomacrolobium nigericum","Magnoliophyta","Fabales","Isomacrolobium nigericum","Fabaceae","Isomacrolobium","nigericum","tree","6"
"15728","Isomacrolobium obanense","Magnoliophyta","Fabales","Isomacrolobium obanense","Fabaceae","Isomacrolobium","obanense","tree","40"
"15729","Isomacrolobium sargosii","Magnoliophyta","Fabales","Isomacrolobium sargosii","Fabaceae","Isomacrolobium","sargosii","tree","3"
"15730","Isomacrolobium triplisomere","Magnoliophyta","Fabales","Isomacrolobium triplisomere","Fabaceae","Isomacrolobium","triplisomere","tree","11"
"15731","Isomacrolobium vignei","Magnoliophyta","Fabales","Isomacrolobium vignei","Fabaceae","Isomacrolobium","vignei","tree","76"
"15732","Isonema buchholzii","Magnoliophyta","Gentianales","Isonema buchholzii","Apocynaceae","Isonema","buchholzii","shrub","4"
"15733","Isonema infundibuliflorum","Magnoliophyta","Gentianales","Isonema infundibuliflorum","Apocynaceae","Isonema","infundibuliflorum","liana","7"
"15734","Isonema smeathmannii","Magnoliophyta","Gentianales","Isonema smeathmannii","Apocynaceae","Isonema","smeathmannii","liana","155"
"15735","Itasina filifolia","Magnoliophyta","Apiales","Itasina filifolia","Apiaceae","Itasina","filifolia","herb","10"
"15736","Itea rhamnoides","Magnoliophyta","Saxifragales","Itea rhamnoides","Iteaceae","Itea","rhamnoides","shrub","17"
"15737","Ituridendron bequaertii","Magnoliophyta","Ericales","Ituridendron bequaertii","Sapotaceae","Ituridendron","bequaertii","tree","56"
"15738","Ixia aurea","Magnoliophyta","Asparagales","Ixia aurea","Iridaceae","Ixia","aurea","herb","1"
"15739","Ixia curta","Magnoliophyta","Asparagales","Ixia curta","Iridaceae","Ixia","curta","","1"
"15740","Ixia divaricata","Magnoliophyta","Asparagales","Ixia divaricata","Iridaceae","Ixia","divaricata","","2"
"15741","Ixia latifolia","Magnoliophyta","Asparagales","Ixia latifolia","Iridaceae","Ixia","latifolia","herb","1"
"15742","Ixia oxalidiflora","Magnoliophyta","Asparagales","Ixia oxalidiflora","Iridaceae","Ixia","oxalidiflora","","1"
"15743","Ixia paucifolia","Magnoliophyta","Asparagales","Ixia paucifolia","Iridaceae","Ixia","paucifolia","","1"
"15744","Ixia polystachya","Magnoliophyta","Asparagales","Ixia polystachya","Iridaceae","Ixia","polystachya","","1"
"15745","Ixia scillaris","Magnoliophyta","Asparagales","Ixia scillaris var. scillaris","Iridaceae","Ixia","scillaris","","1"
"15746","Ixia superba","Magnoliophyta","Asparagales","Ixia superba","Iridaceae","Ixia","superba","herb","1"
"15747","Ixia tenuifolia","Magnoliophyta","Asparagales","Ixia tenuifolia","Iridaceae","Ixia","tenuifolia","herb","1"
"15748","Ixora albersii","Magnoliophyta","Gentianales","Ixora albersii","Rubiaceae","Ixora","albersii","tree","11"
"15749","Ixora aneimenodesma","Magnoliophyta","Gentianales","Ixora aneimenodesma subsp. aneimenodesma","Rubiaceae","Ixora","aneimenodesma","shrub","46"
"15750","Ixora aneimenodesma","Magnoliophyta","Gentianales","Ixora aneimenodesma","Rubiaceae","Ixora","aneimenodesma","shrub","46"
"15751","Ixora aneimenodesma","Magnoliophyta","Gentianales","Ixora aneimenodesma subsp. kizuensis","Rubiaceae","Ixora","aneimenodesma","shrub","46"
"15752","Ixora baldwinii","Magnoliophyta","Gentianales","Ixora baldwinii","Rubiaceae","Ixora","baldwinii","shrub","20"
"15753","Ixora batesii","Magnoliophyta","Gentianales","Ixora batesii","Rubiaceae","Ixora","batesii","shrub","9"
"15754","Ixora bauchiensis","Magnoliophyta","Gentianales","Ixora bauchiensis","Rubiaceae","Ixora","bauchiensis","shrub","77"
"15755","Ixora brachypoda","Magnoliophyta","Gentianales","Ixora brachypoda","Rubiaceae","Ixora","brachypoda","shrub","577"
"15756","Ixora burundiensis","Magnoliophyta","Gentianales","Ixora burundiensis","Rubiaceae","Ixora","burundiensis","tree","30"
"15757","Ixora congesta","Magnoliophyta","Gentianales","Ixora congesta","Rubiaceae","Ixora","congesta","shrub","31"
"15758","Ixora delicatula","Magnoliophyta","Gentianales","Ixora delicatula","Rubiaceae","Ixora","delicatula","shrub","10"
"15759","Ixora euosmia","Magnoliophyta","Gentianales","Ixora euosmia","Rubiaceae","Ixora","euosmia","shrub","29"
"15760","Ixora fastigiata","Magnoliophyta","Gentianales","Ixora fastigiata","Rubiaceae","Ixora","fastigiata","shrub","7"
"15761","Ixora foliosa","Magnoliophyta","Gentianales","Ixora foliosa","Rubiaceae","Ixora","foliosa","tree","89"
"15762","Ixora guineensis","Magnoliophyta","Gentianales","Ixora guineensis","Rubiaceae","Ixora","guineensis","shrub","235"
"15763","Ixora hartiana","Magnoliophyta","Gentianales","Ixora hartiana","Rubiaceae","Ixora","hartiana","tree","8"
"15764","Ixora hiernii","Magnoliophyta","Gentianales","Ixora hiernii","Rubiaceae","Ixora","hiernii","tree","33"
"15765","Ixora hippoperifera","Magnoliophyta","Gentianales","Ixora hippoperifera","Rubiaceae","Ixora","hippoperifera","shrub","108"
"15766","Ixora inundata","Magnoliophyta","Gentianales","Ixora inundata","Rubiaceae","Ixora","inundata","shrub","28"
"15767","Ixora latituba","Magnoliophyta","Gentianales","Ixora latituba","Rubiaceae","Ixora","latituba","shrub","78"
"15768","Ixora laurentii","Magnoliophyta","Gentianales","Ixora laurentii","Rubiaceae","Ixora","laurentii","shrub","21"
"15769","Ixora laxiflora","Magnoliophyta","Gentianales","Ixora laxiflora var. linderi","Rubiaceae","Ixora","laxiflora","shrub","154"
"15770","Ixora laxiflora","Magnoliophyta","Gentianales","Ixora laxiflora var. laxiflora","Rubiaceae","Ixora","laxiflora","shrub","154"
"15771","Ixora laxiflora","Magnoliophyta","Gentianales","Ixora laxiflora","Rubiaceae","Ixora","laxiflora","shrub","154"
"15772","Ixora letestui","Magnoliophyta","Gentianales","Ixora letestui","Rubiaceae","Ixora","letestui","shrub","2"
"15773","Ixora liberiensis","Magnoliophyta","Gentianales","Ixora liberiensis","Rubiaceae","Ixora","liberiensis","shrub","5"
"15774","Ixora longipedunculata","Magnoliophyta","Gentianales","Ixora longipedunculata","Rubiaceae","Ixora","longipedunculata","shrub","25"
"15775","Ixora macilenta","Magnoliophyta","Gentianales","Ixora macilenta","Rubiaceae","Ixora","macilenta","shrub","44"
"15776","Ixora mildbraedii","Magnoliophyta","Gentianales","Ixora mildbraedii","Rubiaceae","Ixora","mildbraedii","shrub","52"
"15777","Ixora minutiflora","Magnoliophyta","Gentianales","Ixora minutiflora subsp. chasalliensis","Rubiaceae","Ixora","minutiflora","shrub","114"
"15778","Ixora minutiflora","Magnoliophyta","Gentianales","Ixora minutiflora","Rubiaceae","Ixora","minutiflora","shrub","114"
"15779","Ixora minutiflora","Magnoliophyta","Gentianales","Ixora minutiflora subsp. minutiflora","Rubiaceae","Ixora","minutiflora","shrub","114"
"15780","Ixora nana","Magnoliophyta","Gentianales","Ixora nana","Rubiaceae","Ixora","nana","shrub","1"
"15781","Ixora narcissodora","Magnoliophyta","Gentianales","Ixora narcissodora","Rubiaceae","Ixora","narcissodora","shrub","150"
"15782","Ixora nematopoda","Magnoliophyta","Gentianales","Ixora nematopoda","Rubiaceae","Ixora","nematopoda","shrub","81"
"15783","Ixora nigerica","Magnoliophyta","Gentianales","Ixora nigerica subsp. occidentalis","Rubiaceae","Ixora","nigerica","shrub","39"
"15784","Ixora nigerica","Magnoliophyta","Gentianales","Ixora nigerica subsp. nigerica","Rubiaceae","Ixora","nigerica","shrub","39"
"15785","Ixora nimbana","Magnoliophyta","Gentianales","Ixora nimbana","Rubiaceae","Ixora","nimbana","shrub","80"
"15786","Ixora odorata","Magnoliophyta","Gentianales","Ixora odorata","Rubiaceae","Ixora","odorata","","1"
"15787","Ixora phellopus","Magnoliophyta","Gentianales","Ixora phellopus","Rubiaceae","Ixora","phellopus","shrub","8"
"15788","Ixora praetermissa","Magnoliophyta","Gentianales","Ixora praetermissa","Rubiaceae","Ixora","praetermissa","shrub","66"
"15789","Ixora rufa","Magnoliophyta","Gentianales","Ixora rufa","Rubiaceae","Ixora","rufa","","1"
"15790","Ixora scheffleri","Magnoliophyta","Gentianales","Ixora scheffleri","Rubiaceae","Ixora","scheffleri","tree","14"
"15791","Ixora scheffleri","Magnoliophyta","Gentianales","Ixora scheffleri subsp. keniensis","Rubiaceae","Ixora","scheffleri","tree","14"
"15792","Ixora seretii","Magnoliophyta","Gentianales","Ixora seretii","Rubiaceae","Ixora","seretii","shrub","16"
"15793","Ixora sp.'Kalehe'","Magnoliophyta","Gentianales","Ixora sp.'Kalehe'","Rubiaceae","Ixora","sp.'Kalehe'","tree","1"
"15794","Ixora sp.'Waka'","Magnoliophyta","Gentianales","Ixora sp.'Waka'","Rubiaceae","Ixora","sp.'Waka'","shrub","1"
"15795","Ixora spirei","Magnoliophyta","Gentianales","Ixora spirei","Rubiaceae","Ixora","spirei","shrub","4"
"15796","Ixora stricta","Magnoliophyta","Gentianales","Ixora stricta","Rubiaceae","Ixora","stricta","","1"
"15797","Ixora synactica","Magnoliophyta","Gentianales","Ixora synactica","Rubiaceae","Ixora","synactica","shrub","11"
"15798","Ixora tanzaniensis","Magnoliophyta","Gentianales","Ixora tanzaniensis","Rubiaceae","Ixora","tanzaniensis","shrub","19"
"15799","Ixora tenuis","Magnoliophyta","Gentianales","Ixora tenuis","Rubiaceae","Ixora","tenuis","shrub","16"
"15800","Jacquemontia ovalifolia","Magnoliophyta","Solanales","Jacquemontia ovalifolia","Convolvulaceae","Jacquemontia","ovalifolia","herb","6"
"15801","Jacquemontia paniculata","Magnoliophyta","Solanales","Jacquemontia paniculata var. paniculata","Convolvulaceae","Jacquemontia","paniculata","herb","6"
"15802","Jacquemontia paniculata","Magnoliophyta","Solanales","Jacquemontia paniculata","Convolvulaceae","Jacquemontia","paniculata","herb","6"
"15803","Jacquemontia tamnifolia","Magnoliophyta","Solanales","Jacquemontia tamnifolia","Convolvulaceae","Jacquemontia","tamnifolia","herb","69"
"15804","Jamesbrittenia accrescens","Magnoliophyta","Lamiales","Jamesbrittenia accrescens","Scrophulariaceae","Jamesbrittenia","accrescens","","1"
"15805","Jamesbrittenia albiflora","Magnoliophyta","Lamiales","Jamesbrittenia albiflora","Scrophulariaceae","Jamesbrittenia","albiflora","","1"
"15806","Jamesbrittenia albobadia","Magnoliophyta","Lamiales","Jamesbrittenia albobadia","Scrophulariaceae","Jamesbrittenia","albobadia","shrub","1"
"15807","Jamesbrittenia argentea","Magnoliophyta","Lamiales","Jamesbrittenia argentea","Scrophulariaceae","Jamesbrittenia","argentea","","1"
"15808","Jamesbrittenia atropurpurea","Magnoliophyta","Lamiales","Jamesbrittenia atropurpurea subsp. pubescens","Scrophulariaceae","Jamesbrittenia","atropurpurea","shrub","1"
"15809","Jamesbrittenia barbata","Magnoliophyta","Lamiales","Jamesbrittenia barbata","Scrophulariaceae","Jamesbrittenia","barbata","","1"
"15810","Jamesbrittenia canescens","Magnoliophyta","Lamiales","Jamesbrittenia canescens","Scrophulariaceae","Jamesbrittenia","canescens","herb","2"
"15811","Jamesbrittenia canescens","Magnoliophyta","Lamiales","Jamesbrittenia canescens var. seineri","Scrophulariaceae","Jamesbrittenia","canescens","herb","2"
"15812","Jamesbrittenia concinna","Magnoliophyta","Lamiales","Jamesbrittenia concinna","Scrophulariaceae","Jamesbrittenia","concinna","herb","10"
"15813","Jamesbrittenia fodina","Magnoliophyta","Lamiales","Jamesbrittenia fodina","Scrophulariaceae","Jamesbrittenia","fodina","shrub","2"
"15814","Jamesbrittenia fragilis","Magnoliophyta","Lamiales","Jamesbrittenia fragilis","Scrophulariaceae","Jamesbrittenia","fragilis","herb","1"
"15815","Jamesbrittenia glutinosa","Magnoliophyta","Lamiales","Jamesbrittenia glutinosa","Scrophulariaceae","Jamesbrittenia","glutinosa","","1"
"15816","Jamesbrittenia grandiflora","Magnoliophyta","Lamiales","Jamesbrittenia grandiflora","Scrophulariaceae","Jamesbrittenia","grandiflora","shrub","1"
"15817","Jamesbrittenia hereroensis","Magnoliophyta","Lamiales","Jamesbrittenia hereroensis","Scrophulariaceae","Jamesbrittenia","hereroensis","","2"
"15818","Jamesbrittenia maxii","Magnoliophyta","Lamiales","Jamesbrittenia maxii","Scrophulariaceae","Jamesbrittenia","maxii","","2"
"15819","Jamesbrittenia micrantha","Magnoliophyta","Lamiales","Jamesbrittenia micrantha","Scrophulariaceae","Jamesbrittenia","micrantha","herb","7"
"15820","Jamesbrittenia pallida","Magnoliophyta","Lamiales","Jamesbrittenia pallida","Scrophulariaceae","Jamesbrittenia","pallida","","1"
"15821","Jamesbrittenia pedunculosa","Magnoliophyta","Lamiales","Jamesbrittenia pedunculosa","Scrophulariaceae","Jamesbrittenia","pedunculosa","herb","1"
"15822","Jamesbrittenia primuliflora","Magnoliophyta","Lamiales","Jamesbrittenia primuliflora","Scrophulariaceae","Jamesbrittenia","primuliflora","","1"
"15823","Jamesbrittenia pristisepala","Magnoliophyta","Lamiales","Jamesbrittenia pristisepala","Scrophulariaceae","Jamesbrittenia","pristisepala","shrub","1"
"15824","Jamesbrittenia ramosissima","Magnoliophyta","Lamiales","Jamesbrittenia ramosissima","Scrophulariaceae","Jamesbrittenia","ramosissima","","1"
"15825","Jasminum abyssinicum","Magnoliophyta","Lamiales","Jasminum abyssinicum","Oleaceae","Jasminum","abyssinicum","liana","78"
"15826","Jasminum angulare","Magnoliophyta","Lamiales","Jasminum angulare","Oleaceae","Jasminum","angulare","","2"
"15827","Jasminum bakeri","Magnoliophyta","Lamiales","Jasminum bakeri","Oleaceae","Jasminum","bakeri","liana","24"
"15828","Jasminum brachyscyphum","Magnoliophyta","Lamiales","Jasminum brachyscyphum","Oleaceae","Jasminum","brachyscyphum","shrub","3"
"15829","Jasminum cuneatum","Magnoliophyta","Lamiales","Jasminum cuneatum","Oleaceae","Jasminum","cuneatum","liana","12"
"15830","Jasminum dichotomum","Magnoliophyta","Lamiales","Jasminum dichotomum","Oleaceae","Jasminum","dichotomum","liana","118"
"15831","Jasminum eminii","Magnoliophyta","Lamiales","Jasminum eminii","Oleaceae","Jasminum","eminii","liana","21"
"15832","Jasminum fluminense","Magnoliophyta","Lamiales","Jasminum fluminense","Oleaceae","Jasminum","fluminense","liana","75"
"15833","Jasminum fluminense","Magnoliophyta","Lamiales","Jasminum fluminense subsp. fluminense","Oleaceae","Jasminum","fluminense","liana","75"
"15834","Jasminum fluminense","Magnoliophyta","Lamiales","Jasminum fluminense subsp. nardoense","Oleaceae","Jasminum","fluminense","liana","75"
"15835","Jasminum glaucum","Magnoliophyta","Lamiales","Jasminum glaucum","Oleaceae","Jasminum","glaucum","","1"
"15836","Jasminum grandiflorum","Magnoliophyta","Lamiales","Jasminum grandiflorum subsp. grandiflorum","Oleaceae","Jasminum","grandiflorum","liana","32"
"15837","Jasminum grandiflorum","Magnoliophyta","Lamiales","Jasminum grandiflorum subsp. floribundum","Oleaceae","Jasminum","grandiflorum","liana","32"
"15838","Jasminum kagoje","Magnoliophyta","Lamiales","Jasminum kagoje","Oleaceae","Jasminum","kagoje","","1"
"15839","Jasminum kerstingii","Magnoliophyta","Lamiales","Jasminum kerstingii","Oleaceae","Jasminum","kerstingii","shrublet","2"
"15840","Jasminum kwangense","Magnoliophyta","Lamiales","Jasminum kwangense","Oleaceae","Jasminum","kwangense","liana","14"
"15841","Jasminum meyeri-johannis","Magnoliophyta","Lamiales","Jasminum meyeri-johannis","Oleaceae","Jasminum","meyeri-johannis","tree","11"
"15842","Jasminum multipartitum","Magnoliophyta","Lamiales","Jasminum multipartitum","Oleaceae","Jasminum","multipartitum","shrub","5"
"15843","Jasminum nardydorum","Magnoliophyta","Lamiales","Jasminum nardydorum","Oleaceae","Jasminum","nardydorum","liana","3"
"15844","Jasminum obtusifolium","Magnoliophyta","Lamiales","Jasminum obtusifolium","Oleaceae","Jasminum","obtusifolium","shrub","7"
"15845","Jasminum odoratissimum","Magnoliophyta","Lamiales","Jasminum odoratissimum subsp. goetzeanum","Oleaceae","Jasminum","odoratissimum","shrub","18"
"15846","Jasminum pauciflorum","Magnoliophyta","Lamiales","Jasminum pauciflorum","Oleaceae","Jasminum","pauciflorum","liana","104"
"15847","Jasminum preussii","Magnoliophyta","Lamiales","Jasminum preussii","Oleaceae","Jasminum","preussii","liana","36"
"15848","Jasminum punctulatum","Magnoliophyta","Lamiales","Jasminum punctulatum","Oleaceae","Jasminum","punctulatum","shrub","1"
"15849","Jasminum schimperi","Magnoliophyta","Lamiales","Jasminum schimperi","Oleaceae","Jasminum","schimperi","shrub","8"
"15850","Jasminum stans","Magnoliophyta","Lamiales","Jasminum stans","Oleaceae","Jasminum","stans","shrub","2"
"15851","Jasminum stenolobum","Magnoliophyta","Lamiales","Jasminum stenolobum","Oleaceae","Jasminum","stenolobum","liana","13"
"15852","Jasminum streptopus","Magnoliophyta","Lamiales","Jasminum streptopus","Oleaceae","Jasminum","streptopus","shrub","54"
"15853","Jasminum streptopus","Magnoliophyta","Lamiales","Jasminum streptopus var. streptopus","Oleaceae","Jasminum","streptopus","shrub","54"
"15854","Jasminum thomense","Magnoliophyta","Lamiales","Jasminum thomense","Oleaceae","Jasminum","thomense","liana","2"
"15855","Jasminum verdickii","Magnoliophyta","Lamiales","Jasminum verdickii","Oleaceae","Jasminum","verdickii","","1"
"15856","Jateorhiza macrantha","Magnoliophyta","Ranunculales","Jateorhiza macrantha","Menispermaceae","Jateorhiza","macrantha","liana","102"
"15857","Jateorhiza palmata","Magnoliophyta","Ranunculales","Jateorhiza palmata","Menispermaceae","Jateorhiza","palmata","liana","7"
"15858","Jatropha aspleniifolia","Magnoliophyta","Malpighiales","Jatropha aspleniifolia","Euphorbiaceae","Jatropha","aspleniifolia","shrub","1"
"15859","Jatropha atacorensis","Magnoliophyta","Malpighiales","Jatropha atacorensis","Euphorbiaceae","Jatropha","atacorensis","herb","3"
"15860","Jatropha botswanica","Magnoliophyta","Malpighiales","Jatropha botswanica","Euphorbiaceae","Jatropha","botswanica","","2"
"15861","Jatropha capensis","Magnoliophyta","Malpighiales","Jatropha capensis","Euphorbiaceae","Jatropha","capensis","shrub","2"
"15862","Jatropha chevalieri","Magnoliophyta","Malpighiales","Jatropha chevalieri","Euphorbiaceae","Jatropha","chevalieri","","1"
"15863","Jatropha crinita","Magnoliophyta","Malpighiales","Jatropha crinita","Euphorbiaceae","Jatropha","crinita","herb","6"
"15864","Jatropha dichtar","Magnoliophyta","Malpighiales","Jatropha dichtar","Euphorbiaceae","Jatropha","dichtar","tree","24"
"15865","Jatropha dichtar","Magnoliophyta","Malpighiales","Jatropha dichtar var. gracilior","Euphorbiaceae","Jatropha","dichtar","tree","24"
"15866","Jatropha dichtar","Magnoliophyta","Malpighiales","Jatropha dichtar var. dichtar","Euphorbiaceae","Jatropha","dichtar","tree","24"
"15867","Jatropha ellenbeckii","Magnoliophyta","Malpighiales","Jatropha ellenbeckii","Euphorbiaceae","Jatropha","ellenbeckii","shrub","17"
