"idrb","decimalLatitude","decimalLongitude","tax_sp_level","family","genus","specificEpithet","species","country","countryCode","verif_iso3","verif_coast","verif_distance","locality"
44690,0.1682,9.3275,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Gabon","GAB","OK","OK",NA,"PN de Pongara, sud de la pointe Ouingombé."
139610,NA,NA,"Cucurbita pepo","Cucurbitaceae","Cucurbita","pepo","Cucurbita pepo","Algeria","DZA","NO COORDINATES","NO COORDINATES",NA,"Bone"
139630,NA,NA,"Eichhornia crassipes","Pontederiaceae","Eichhornia","crassipes","Eichhornia crassipes","Kenya","KEN","NO COORDINATES","NO COORDINATES",NA,"Lake Naivasha"
139640,0.533333,25.35,"Spermacoce latifolia","Rubiaceae","Spermacoce","latifolia","Spermacoce latifolia","Congo - Kinshasa","COD","OK","OK",NA,"Maléké; 15 km à l' Est de Kisangani"
139828,-6,12.4,"Gardenia jasminoides","Rubiaceae","Gardenia","jasminoides","Gardenia jasminoides","Congo - Kinshasa","COD","OK","OK",NA,"Banana"
139969,-6.15,37.5833,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Tanzania","TZA","OK","OK",NA,"Morogoro Distr, Turiani"
139970,-5.81667,13.4667,"Ixora coccinea","Rubiaceae","Ixora","coccinea","Ixora coccinea","Congo - Kinshasa","COD","OK","OK",NA,"Matadi"
140136,0.826649,24.2745,"Ipomoea mauritiana","Convolvulaceae","Ipomoea","mauritiana","Ipomoea mauritiana","Congo - Kinshasa","COD","OK","OK",NA,"Yaekela"
140174,-1.425,29.2333,"Cyperus elegantulus","Cyperaceae","Cyperus","elegantulus","Cyperus elegantulus","Congo - Kinshasa","COD","OK","OK",NA,"P.N.A., Mushumangabo, entre le Mikeno et le Nyamuragira"
140316,-10.0167,33.6667,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Malawi","MWI","OK","OK",NA,"Kayelekera,32 km WSW of Karonga,Chapwasa"
140318,NA,NA,"Panicum philadelphicum","Poaceae","Panicum","philadelphicum","Panicum philadelphicum","South Africa","ZAF","NO COORDINATES","NO COORDINATES",NA,"near Prieska"
140381,NA,NA,"Uvaria muricata","Annonaceae","Uvaria","muricata","Uvaria muricata var. suaveolens","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,""
140484,NA,NA,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Rwanda","RWA","NO COORDINATES","NO COORDINATES",NA,"Karama, station ISAR"
140519,-4.3,15.2833,"Leucaena leucocephala","Fabaceae","Leucaena","leucocephala","Leucaena leucocephala","Congo - Kinshasa","COD","OK","OK",NA,"Kalina (Leo)"
140521,-4.31667,15.3167,"Averrhoa carambola","Oxalidaceae","Averrhoa","carambola","Averrhoa carambola","Congo - Kinshasa","COD","OK","OK",NA,"Léopold II [lac] [err.call.]"
141104,-4.2,15.55,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Congo - Kinshasa","COD","OK","OK",NA,"Stanley-Pool, île Mbamu"
141542,-6.55,37.6667,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Tanzania","TZA","OK","OK",NA,"E. Prov., Morogoro Distr., Liwali R, Turiani"
141901,0.686769,24.223,"Vitex doniana","Lamiaceae","Vitex","doniana","Vitex doniana","Congo - Kinshasa","COD","OK","OK",NA,"Lomami River just upstream from Lieki"
142007,0.766667,24.45,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi, réserve forestière de l'INEAC."
142091,-5.13333,15.1,"Graptophyllum pictum","Acanthaceae","Graptophyllum","pictum","Graptophyllum pictum","Congo - Kinshasa","COD","OK","OK",NA,"Kisantu"
142145,0.05,18.3167,"Pachira glabra","Malvaceae","Pachira","glabra","Pachira glabra","Congo - Kinshasa","COD","OK","OK",NA,"Eala - Equateur"
142698,0.794891,24.4919,"Cecropia concolor","Urticaceae","Cecropia","concolor","Cecropia concolor","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot JEU2"
142728,0.797947,24.4889,"Bellucia pentamera","Melastomataceae","Bellucia","pentamera","Bellucia pentamera","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot EDG 2"
142781,0.795944,24.4943,"Bellucia pentamera","Melastomataceae","Bellucia","pentamera","Bellucia pentamera","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot JEU3"
142785,0.795944,24.4943,"Cecropia concolor","Urticaceae","Cecropia","concolor","Cecropia concolor","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot JEU3"
142797,0.814425,24.4856,"Bellucia pentamera","Melastomataceae","Bellucia","pentamera","Bellucia pentamera","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot EDG3"
142903,0.792102,24.4972,"Cecropia concolor","Urticaceae","Cecropia","concolor","Cecropia concolor","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot JEU5"
142911,0.869177,24.4702,"Bellucia pentamera","Melastomataceae","Bellucia","pentamera","Bellucia pentamera","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot EDG5"
142926,0.86828,24.4565,"Bellucia pentamera","Melastomataceae","Bellucia","pentamera","Bellucia pentamera","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi; COBIMFO forest plot GIL5"
142977,-5.81667,13.4667,"Ixora coccinea","Rubiaceae","Ixora","coccinea","Ixora coccinea","Congo - Kinshasa","COD","OK","OK",NA,"Matadi"
143035,NA,NA,"Cinchona calisaya","Rubiaceae","Cinchona","calisaya","Cinchona calisaya","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,"zone de Walungu, Plantation Yambo, secteur Chishenge."
143065,3.46667,25.7167,"Ixora coccinea","Rubiaceae","Ixora","coccinea","Ixora coccinea","Congo - Kinshasa","COD","OK","OK",NA,"Bambesa"
143197,NA,NA,"Cinchona calisaya","Rubiaceae","Cinchona","calisaya","Cinchona calisaya","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,"zone de Walungu, Plantation Yambo, secteur Yambo."
143311,NA,NA,"Cicer arietinum","Fabaceae","Cicer","arietinum","Cicer arietinum","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,""
143552,-18.4167,34.0667,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Mozambique","MOZ","OK","OK",NA,"Manica & Soyala Distr, road to Busi R and Gogoi"
143648,0.766667,24.5,"Commelina diffusa","Commelinaceae","Commelina","diffusa","Commelina diffusa","Congo - Kinshasa","COD","OK","OK",NA,"Yaosuka, près de cases indigènes"
143705,-9.66667,33.5,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Malawi","MWI","OK","OK",NA,"Misuku Distr, Misuku Hills"
143985,0.05,18.3167,"Psychotria carthagenensis","Rubiaceae","Psychotria","carthagenensis","Psychotria carthagenensis","Congo - Kinshasa","COD","OK","OK",NA,"Eala"
144169,-2.83333,29.8167,"Cinchona calisaya","Rubiaceae","Cinchona","calisaya","Cinchona calisaya","Burundi","BDI","OK","OK",NA,"Ibuye, prov: Ngozi."
144338,NA,NA,"Anethum graveolens","Apiaceae","Anethum","graveolens","Anethum graveolens","Ethiopia","ETH","NO COORDINATES","NO COORDINATES",NA,""
144376,NA,NA,"Haplopteris scolopendrina","Pteridaceae","Haplopteris","scolopendrina","Haplopteris scolopendrina","Tanzania","TZA","NO COORDINATES","NO COORDINATES",NA,"Deutsch Ost-Afrika: Landschaft Ost Usambara"
144575,-16.0242,37.2061,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Mozambique","MOZ","OK","OK",NA,"Arredores de Ile"
144642,0.766667,24.45,"Uvaria muricata","Annonaceae","Uvaria","muricata","Uvaria muricata var. suaveolens","Congo - Kinshasa","COD","OK","OK",NA,"Yangambi"
144874,-2.86933,28.7407,"Scleria distans","Cyperaceae","Scleria","distans","Scleria distans","Congo - Kinshasa","COD","OK","OK",NA,"Sud Kivu Prov. Twangiza, Ridge"
145009,-5.25,14.8667,"Haplopteris scolopendrina","Pteridaceae","Haplopteris","scolopendrina","Haplopteris scolopendrina","Congo - Kinshasa","COD","OK","OK",NA,"Sona Gongu"
145404,-5.13333,15.1,"Corynostylis arborea","Violaceae","Corynostylis","arborea","Corynostylis arborea","Congo - Kinshasa","COD","OK","OK",NA,"Kisantu"
145437,-3.41667,24.4167,"Spermacoce latifolia","Rubiaceae","Spermacoce","latifolia","Spermacoce latifolia","Congo - Kinshasa","COD","OK","OK",NA,"Katako Kombe"
145510,-4.2,15.55,"Trapa natans","Lythraceae","Trapa","natans","Trapa natans","Congo - Kinshasa","COD","OK","OK",NA,"Stanley Pool"
145531,NA,NA,"Ipomoea mauritiana","Convolvulaceae","Ipomoea","mauritiana","Ipomoea mauritiana","Gabon","GAB","NO COORDINATES","NO COORDINATES",NA,"Ngomo, falaise du fleuve ogooué"
145663,NA,NA,"Cicer arietinum","Fabaceae","Cicer","arietinum","Cicer arietinum","Ethiopia","ETH","NO COORDINATES","NO COORDINATES",NA,"Department of Genetics, Wageningen, Greenhouse."
145780,NA,NA,"Cinchona calisaya","Rubiaceae","Cinchona","calisaya","Cinchona calisaya","Congo - Kinshasa","COD","NO COORDINATES","NO COORDINATES",NA,"zone de Walungu, Plantation Yambo, secteur Irhumvu."
146090,NA,NA,"Cicer arietinum","Fabaceae","Cicer","arietinum","Cicer arietinum","Rwanda","RWA","NO COORDINATES","NO COORDINATES",NA,"[....]"
146114,NA,NA,"Burmannia madagascariensis","Burmanniaceae","Burmannia","madagascariensis","Burmannia madagascariensis","Gabon","GAB","NO COORDINATES","NO COORDINATES",NA,"entre le ?Lubari? et le ?Zaco?"
146166,NA,NA,"Pseudognaphalium luteoalbum","Asteraceae","Pseudognaphalium","luteoalbum","Pseudognaphalium luteoalbum","Angola","AGO","NO COORDINATES","NO COORDINATES",NA,"Huilla"
146257,NA,NA,"Ixora coccinea","Rubiaceae","Ixora","coccinea","Ixora coccinea","Tanzania","TZA","NO COORDINATES","NO COORDINATES",NA,"Dar Es Salaam, University Campus: cult."
146532,-9.7,33.9333,"Ixora narcissodora","Rubiaceae","Ixora","narcissodora","Ixora narcissodora","Malawi","MWI","NEIGHBOUR","OK",1125,"Chitipa Distr, 9 ml E of rd to Karonga, Songa R"
